,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
63,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142.0,,1.0,,,,,20.0,,,2.0,3,True,3.0,,,,,,,
64,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,,2019-03-24 01:09:02,2025-08-01 05:08:54,2025-08-01 05:08:47,479.0,,1.0,2.0,6.0,,,10.0,,,3.0,3,True,3.0,,,,,,,
65,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,MIT,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,2.0,1.0,,1.0,9.0,,,,3,True,3.0,,,,,,,
66,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208.0,,,1.0,,,,7.0,,,,3,True,3.0,,,,,,,
67,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,,2018-12-09 14:00:32,2024-09-16 20:49:10,2022-12-19 19:32:28,138.0,,,,2.0,,,6.0,,,2.0,3,True,3.0,,,,,,,
68,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,,2017-06-26 23:15:31,2024-02-20 21:13:18,2024-02-20 21:12:02,111.0,,,1.0,,,,5.0,,,3.0,3,True,3.0,,,,,,,
69,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,,english,https://github.com/Yarden-zamir/me,,2022-11-21 13:38:48,2025-08-08 06:59:01,2025-08-08 06:58:58,367.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,,,2.0,3,True,3.0,,,,,,,
70,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/oppoverbakke/hwiki,,2019-04-13 09:28:45,2025-07-23 10:54:42,2025-07-23 10:54:41,305.0,,1.0,1.0,,,,4.0,,,2.0,3,True,3.0,oppoverbakke/hwiki,,,,,,
71,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,,2020-04-25 18:21:31,2023-02-20 19:56:56,2022-12-03 14:28:47,110.0,,,,41.0,1.0,,4.0,,,2.0,3,True,3.0,,,,,,,
72,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,,2020-10-02 09:34:09,2024-11-11 22:33:37,2024-11-11 22:33:30,30.0,,1.0,,,,,3.0,,,2.0,3,True,3.0,,,,,,,
73,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88.0,,,1.0,,,,3.0,,,,3,False,3.0,,,,,,,
74,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,CC0-1.0,2017-10-30 00:35:00,2023-04-14 04:08:46,2023-04-14 04:08:46,437.0,,,1.0,137.0,1.0,1.0,3.0,,,4.0,3,True,3.0,,2019-01-14 15:42:02,2018,1.0,,21.0,0.0
75,Prasanna Loganathar,https://github.com/prasannavl/knowledge,"['science', 'linux', 'programming']",prasannavl/knowledge,,english,https://github.com/prasannavl/knowledge,,2019-05-10 00:53:49,2022-02-28 07:29:34,2022-02-28 07:29:30,90.0,,1.0,1.0,,,,3.0,,,,3,True,3.0,,,,,,,
76,QA Garden,https://gabrioliv.github.io/garden/,"['programming', 'productivity', 'qa']",GabriOliv/garden,,portuguese,https://github.com/GabriOliv/garden,MIT,2022-03-31 11:54:31,2025-05-25 20:32:39,2025-05-25 20:32:29,49.0,,,1.0,,,,1.0,,,2.0,3,True,3.0,,,,,,,
77,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,,,,,,,,2.0,3,False,3.0,,,,,,,
78,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,https://github.com/maxdeviant/knowledge,,2020-03-21 21:21:49,2021-05-16 18:04:43,2021-05-16 18:04:40,30.0,,,1.0,,,,,,,,3,False,3.0,,,,,,,
