,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
43,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,9.0,4.0,4.0,,,37.0,2.0,5,True,3.0,,,,,,
44,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,5.0,,,,13.0,2.0,5,False,3.0,MIT,,,,,
45,seanbreckenridge exobrain,https://exobrain.sean.fish/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,2020-06-11 04:33:29,2022-04-23 22:45:54,2022-04-23 22:45:52,478.0,7.0,,4.0,,,1.0,10.0,,5,True,3.0,,,,,,
46,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,2019-12-29 09:35:55,2022-06-02 10:09:54,2022-05-31 04:47:52,286.0,7.0,,1.0,,,,4.0,2.0,5,True,3.0,CC0-1.0,,,,,
47,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,2020-04-18 14:15:35,2022-06-09 03:43:58,2022-06-09 03:43:50,192.0,13.0,2.0,2.0,1.0,,,3.0,2.0,5,True,3.0,,,,,,
48,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,2020-10-19 22:55:09,2022-04-09 16:38:35,2022-04-09 16:37:38,73.0,7.0,,,,,,2.0,7.0,5,True,3.0,GPL-3.0,,,,,
49,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,2021-04-07 14:35:27,2022-06-21 05:32:36,2022-06-21 05:32:32,782.0,151.0,,1.0,,,,1.0,2.0,5,True,3.0,,,,,,
50,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83.0,,,1.0,,,,,3.0,5,True,3.0,MIT,,,,,
51,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,https://github.com/rsarai/rsarai.github.io,2020-02-07 01:46:20,2022-05-29 18:12:59,2022-05-29 18:12:53,98.0,16.0,,2.0,10.0,,,,2.0,5,True,3.0,MIT,,,,,
52,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,2019-01-29 01:07:38,2022-04-12 04:28:03,2022-04-12 04:28:03,748.0,2.0,3.0,2.0,,,,18.0,2.0,4,True,3.0,,,,,,
