,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
48,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,https://github.com/davzoku/personal-website-v1,MIT,2021-06-15 15:25:18,2024-01-06 13:31:24,2023-12-30 09:00:38,195.0,,,3.0,86.0,,,4.0,,,2.0,6,True,3.0,,,,,,,
49,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,MIT,2011-02-01 11:59:36,2024-11-25 18:42:14,2024-11-25 18:41:53,1918.0,2.0,,3.0,11.0,,,2.0,,,20.0,6,True,1.0,,,,,,,
50,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,,2021-11-06 18:24:10,2025-02-02 00:41:44,2025-02-02 00:40:16,361.0,49.0,1.0,2.0,28.0,,,,,,2.0,6,True,3.0,,,,,,,
51,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,11.0,6.0,4.0,,,63.0,,,2.0,5,True,3.0,,,,,,,
52,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,7.0,2.0,,,48.0,,,,5,False,3.0,,,,,,,
53,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,7.0,6.0,,1.0,1.0,48.0,,,2.0,5,True,3.0,,,,,,,
54,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,,2019-01-29 01:07:38,2023-03-29 03:35:54,2023-03-29 03:35:54,750.0,,2.0,3.0,,,,23.0,,,2.0,5,True,3.0,,,,,,,
55,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,6.0,1.0,1.0,,22.0,,,2.0,5,False,3.0,,,,,,,
56,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,,2018-06-26 16:04:46,2024-12-30 18:40:01,2024-12-30 18:39:56,154.0,2.0,1.0,4.0,,,,20.0,,,,5,True,3.0,,,,,,,
57,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,MIT,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,6.0,,,,12.0,,,2.0,5,False,3.0,,,,,,,
