,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
52,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2023-03-08 02:50:33,2023-03-08 02:50:28,244.0,,12.0,2.0,5.0,,,23.0,3.0,5,True,3.0,,,,,,,,,,
53,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,7.0,,,,12.0,2.0,5,False,3.0,MIT,,,,,,,,,
54,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,https://github.com/davzoku/personal-website-v1,2021-06-15 15:25:18,2023-05-04 06:15:18,2023-05-04 06:15:06,183.0,1.0,,3.0,81.0,,,5.0,2.0,5,True,3.0,MIT,,-1.0,,,,,,,
55,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83.0,,,1.0,,,,,3.0,5,True,3.0,MIT,,,,,,,,,
56,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,5.0,1.0,1.0,,18.0,2.0,4,True,3.0,,,,,,,,,,
57,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,2020-05-29 16:00:06,2022-12-13 18:22:24,2022-12-13 18:22:22,185.0,,2.0,,1.0,,,11.0,2.0,4,True,3.0,,,,,,,,,,
58,seanbreckenridge exobrain,https://exobrain.sean.fish/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,2020-06-11 04:33:29,2023-07-22 22:35:10,2023-07-22 22:35:05,503.0,1.0,,4.0,,,1.0,10.0,,4,True,3.0,,,,,,,,,,
59,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,4.0,1.0,,,9.0,2.0,4,True,3.0,,,,,,,,,,
60,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,3.0,1.0,,1.0,9.0,,4,True,3.0,MIT,,,,,,,,,
61,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/mx,2020-09-27 02:34:26,2023-04-26 20:36:57,2023-04-19 21:15:01,565.0,,1.0,1.0,4.0,,,8.0,,4,True,3.0,,flber/mx,,,,,,,,
62,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,2019-01-31 17:47:00,2023-02-28 13:58:07,2023-02-28 13:57:57,187.0,,1.0,4.0,,,,7.0,2.0,4,True,3.0,,,,,,,,,,
63,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,2019-03-24 01:09:02,2023-02-10 06:54:14,2023-02-10 06:54:00,442.0,,,4.0,6.0,,,5.0,3.0,4,True,3.0,,,,,,,,,,
